source,family,file,sha256,bytes,n_vars,n_clauses,note
heule,26x26,heule/26x26/26x26-5-8x8-SAT.cnf,4b63fbdbb4a5235587829c6ebd1193ffde1fcffd4a5a10655db19b095501f6a7,2477520,640,117578,status_in_name=sat
heule,26x26,heule/26x26/26x26-5-6x6-SAT.cnf,28ca9e49a0da1381ebcb909e6422696b4c3502274b40865b9fa0d3a5d03b33d5,2836976,750,133662,status_in_name=sat
heule,26x26,heule/26x26/26x26-5-4x4-UNK.cnf,ee413a2fedcefa43d3ffd75c4ed39e2a5ddc449f661bbf6f7a6296bd5ee21d00,3511560,980,164030,status_in_name=unk
heule,26x26,heule/26x26/26x26-5-3x3-UNK.cnf,55738d1eaf3c9b686dfe13e27079690eae7695e3af4fb57d165cdfe670698889,4599243,1215,206958,status_in_name=unk
heule,Green,heule/Green/Green-18-311-SAT.cnf,d9817107dd9e0689923f945f2006185dde4c0bd20698da243bf642cf787cac06,573341,311,26716,status_in_name=sat
heule,Green,heule/Green/Green-19-348-SAT.cnf,2f71af0e6567c976bd3a6463b299bda59b0067d993c770ddbfbeeffc2f664f1b,723862,348,33294,status_in_name=sat
heule,Green,heule/Green/Green-20-388-SAT.cnf,304eabe1cdd30ef4656dcf399b7d080db59d6d0269c317978a8898fe1754fd9a,906035,388,41212,status_in_name=sat
heule,Green,heule/Green/Green-29-868-SAT.cnf,d470817580b43552f71744e879738c7947fec51d384aa9b2214314a4562a2490,4661102,868,200942,status_in_name=sat
heule,Green,heule/Green/Green-30-903-SAT.cnf,e95562666e77a52f4b673b6d2785117df675c53a442fdfc41d4d691dfb9bcb87,5046115,903,217010,status_in_name=sat
heule,Green,heule/Green/Green-37-1340-SAT.cnf,d228be12110799f9c8a31484200ffca944c1b1213da8d5b1113d112d293c59c7,11610794,1340,472502,status_in_name=sat
heule,Steiner,heule/Steiner/Steiner-243-45-bce.cnf,948c8addec6b118136603893721c4bbdd8b479778430a449b81658c64a6f4f94,425989,48600,27513,status_in_name=?
heule,Steiner,heule/Steiner/Steiner-405-70-bce.cnf,66e3b1cfbb1c7ada1867692a1035dd7b76d935fb21227fc117f83bdc6930f775,1192091,136485,73975,status_in_name=?
heule,Steiner,heule/Steiner/Steiner-729-112-bce.cnf,7f34800d49c5d2f2785c9f8885e5da18687963f2164568ae54722c56d6883529,3834662,451251,226267,status_in_name=?
heule,asias,heule/asias/asias-20-SAT.cnf,15aa3a06cb079d8c607fde634f3a5b542fee3bff5e26ecc7237630a6feabfc06,765477,4650,30770,status_in_name=sat
heule,asias,heule/asias/asias-34-SAT.cnf,02e4f8cbda11f81e05729ddf35e24b7c63f8527a8ebe3f7eb1e6fe2b9090ce5c,5018590,16847,168895,status_in_name=sat
heule,matrix,heule/matrix/MM-23-2-2-2-2-M.cnf,8af79d6217bc346cb5bd23a6e25a36de8189b8e5983e7ff195608e86343c5da7,2447369,26541,117206,status_in_name=?
heule,matrix,heule/matrix/MM-23-2-2-2-2-C.cnf,e5ce2cfac4a6481ac87815361b6b39329f0117413d4be0ca147ad95478b6c8f9,2447374,26541,117207,status_in_name=?
heule,matrix,heule/matrix/MM-23-2-2-2-2-D.cnf,bc7541eef687f2483ddeb477feb1b4611ef56e4fef3aa963088398942546c42f,2447374,26541,117207,status_in_name=?
heule,matrix,heule/matrix/MM-23-63-2-2-2-2-M.cnf,796e4a08700262767edd598debf8eab3b3dce0112b93e1ac5f9058f409a12748,5516261,21033,186704,status_in_name=?
heule,matrix,heule/matrix/MM-23-63-2-2-2-2-C.cnf,766ee4d0558e3ad1276d36fd156f08a79a876400b6c0092c60acaf776736e44e,5516266,21033,186705,status_in_name=?
heule,matrix,heule/matrix/MM-23-63-2-2-2-2-3.cnf,48b514a4840c0e9a8caf0053b6a4687956bcfc205e67a1e0c14ae997582d817c,5516293,21033,186709,status_in_name=?
heule,matrix,heule/matrix/MM-23-63-2-2-2-3-4.cnf,bba090ef0de64e5894679fedfc56f12a91eb98465ccf631aca7fb73ea0409e71,5516311,21033,186712,status_in_name=?
heule,matrix,heule/matrix/MM-23-63-4-4-4-4-1.cnf,8e892b47b7c2b100c26f5309ab36afb2ba718d9afeb4ba1bebf95fa1dd8ebedc,5516341,21033,186717,status_in_name=?
heule,mphf,heule/mphf/mphf-40-56-31420-SAT.cnf,05b6c69765054c8b6e6da355eae29e32d5977dcedc2e08421198e5d02f183dda,862562,56,23296,status_in_name=sat
heule,mphf,heule/mphf/mphf-40-56-14730-SAT.cnf,cb944995f7c13830274c6982f3acfd370772aac823bbe775a2cc79065b51566b,874931,56,23556,status_in_name=sat
heule,mphf,heule/mphf/mphf-40-56-740-SAT.cnf,9b246a42437ad91c14312eed1820a6c9fa881a362b23b1aec50ad4a9a07463fc,875758,56,23816,status_in_name=sat
heule,mphf,heule/mphf/mphf-40-56-7374-SAT.cnf,a65e955a158a21ab6d632a17563123905c0696d1eae1c1b91b9c41318c6a7947,888388,56,23979,status_in_name=sat
heule,mphf,heule/mphf/mphf-40-56-15341-SAT.cnf,6174d3d52177e0226fe1231407caefbaec60e21ac499cfad41ad86a664de7da5,889130,56,23962,status_in_name=sat
heule,mphf,heule/mphf/mphf-40-56-14125-SAT.cnf,cc9f6276e25e7a33f1bce96b67b581656ace46b25a76e3717dfcb844df629f13,895580,56,24172,status_in_name=sat
heule,mphf,heule/mphf/mphf-46-64-15341-SAT.cnf,e9858cc1e965518ab44f8874765d09ed4a4f632e722b3323bed6d73678321da3,1426013,64,36944,status_in_name=sat
heule,mphf,heule/mphf/mphf-46-64-10519-SAT.cnf,b1e803b32736ee3695880eda745a80a7b2c758e795525ccaa23888d687c887f6,1450152,64,37271,status_in_name=sat
heule,packing,heule/packing/5-10-bva.cnf,5f9bc1280343db28024e90c0b771cb5ff35e7a520c3b26ef5ca0a5e97b5c7faa,27941,973,2313,status_in_name=?
heule,packing,heule/packing/5-10-plus.cnf,e025a8952d4dda05c5f309782b0fee826fe2cadafa2a759d164d60ee163f8d91,49044,673,4063,status_in_name=?
heule,packing,heule/packing/6-11-bva.cnf,68339aa9dad2233e7942709d588add73e046dc3598ab839982ab5c047dedda04,50949,1559,3928,status_in_name=?
heule,packing,heule/packing/6-11-plus.cnf,7f4b4d67e7d25ab8bd39f77fece43a0b791a1624bc8bf0f7958f964d55ea2091,92952,1039,7548,status_in_name=?
heule,packing,heule/packing/5-10-direct.cnf,fb6485802fd0bb29675b43d79b181835a63d8ce57e8574cfd89174e194ae0030,126728,610,10688,status_in_name=?
heule,packing,heule/packing/6-11-direct.cnf,2298dc32403bbeeb89ede20128ab9679f5b0ee7186baa4851e1691f38dc240c5,251894,935,21086,status_in_name=?
heule,ptn,heule/ptn/bce7824-SAT.cnf,62644a56ba7f81062454dc806103c9c9ae1769c4b8b54baf6cb67b816971da97,261775,7820,14652,status_in_name=sat
heule,ptn,heule/ptn/plain7824-SAT.cnf,c3e372c1329f1251f9e9b71171039aee33bd95fd496fe41b10ba3f5a58aa0359,338824,7820,18930,status_in_name=sat
heule,radio,heule/radio/radio-6-9-4.cnf,4784ef6af680c4b525756e12734e3b63dfe2ea234fb0814e2fbf48a2f8261be7,121268,640,10241,status_in_name=?
heule,radio,heule/radio/radio-7-11-2.cnf,1b673cc46fc1f5ce89d4506df4a324270bbdd4c74c11a1448927cd7c1cab18e3,405084,1536,31886,status_in_name=?
heule,wap,heule/wap/wap07a-40.cnf,c596c0f8c709fe752c10be3d372ac096bbfc53a23735d68f360f3995b5e22c2f,61447597,72360,3864379,status_in_name=?
dimacs,as1,dimacs/as1/as1-yes.cnf,b38cb6328cf2a5ae75935bc99a3c7bd79f138a0d462f539ab58e85efd6dfe172,933185,1044,35386,
dimacs,as2,dimacs/as2/as2-yes.cnf,700dd1c26d588edbcc604a69382325d3bbea213d85c2f0c476b2c5ae382f9b77,18890,96,954,
dimacs,as3,dimacs/as3/as3-yes.cnf,72aacf69c10e39d978b1fd82fd6de27ebb2bc235ef1fc41bf52b115a296c0c5d,18889,96,954,
dimacs,as4,dimacs/as4/as4-yes.cnf,af331b998caa957cf540e8cc043940493602ab24325f70b6f2b43d7ebdfe1285,98358,328,4176,
dimacs,as5,dimacs/as5/as5-yes.cnf,d42fc9752b6cd6b6449a6baa2859a3658c43b26b6aebabeddbdcae9c98fc1a8b,823815,1208,31124,
dimacs,as6,dimacs/as6/as6-yes.cnf,31569a326bd2b434574cb1ccf4e241dd2ee52e245cbdb3d481fed7be0b4bde44,51181,184,2277,
dimacs,as7,dimacs/as7/as7-yes.cnf,a7f290754a74f47529bf1214127562570e321e89c05164d5697166b7369e54f9,450387,760,17896,
dimacs,as8,dimacs/as8/as8-yes.cnf,71c01a51fd2a57532bddb1ce1be48354701457e43c34856c58004d04de636472,20779,84,974,
dimacs,as9,dimacs/as9/as9-no.cnf,7a01556948d7f07b28e09a210b76e27f92b933388551ad22e9eb9f42cf55621e,27637,108,1346,
dimacs,as10,dimacs/as10/as10-yes.cnf,89df5e60e0768d75e2862b98f98acfef13e920207dc7592fc921f41becfd9cb1,63493,216,2780,
dimacs,as11,dimacs/as11/as11-yes.cnf,56e4b60003f3cef0a87b9ca7c15fae707b362298651aed15e9eea7cbdd139117,27354,112,1312,
dimacs,as12,dimacs/as12/as12-yes.cnf,83c0c14c1aa44f0950097ec190867c271ab51b8f69e818cbb3019cf4e34ef130,21292,72,1012,
dimacs,as13,dimacs/as13/as13-yes.cnf,d0914e01d53d26f698a2679436f97ae6e67dbe4dd6120a32b7089fcd6372064f,51824,232,2276,
dimacs,as14,dimacs/as14/as14-yes.cnf,64eeb195814c3fdd75a955574314b179772fc3ad0bbdd31f7e6d6e08ea770236,15679,92,758,
dimacs,as15,dimacs/as15/as15-yes.cnf,50c834bac4653dd13fa192b03c60d443958620c5a7b5c7efb65e193a24a4d7f2,86990,232,3692,
dimacs,tm1,dimacs/tm1/tm1-yes.cnf,6da8e6fde7ae1a53b6120ee1ff0c8a89dac56e93462735c7a671301e9cab6455,774486,2421,40723,
dimacs,tm2,dimacs/tm2/tm2-yes.cnf,92aab8c35a1fa823e16094d509ff42d1fc0d5dc8f236a2ffed8ae02f1b91036e,38105,337,1888,
